month,hours_available,extra_hours_available,cost_per_hour,cost_per_extra_hour
Junio,2880,720,7601.4,11402.0
Julio,3000,750,7297.3,10946.0
Agosto,2880,720,7601.4,11402.0
Septiembre,3120,780,7016.6,10525.0
