month,hours_available,extra_hours_available,cost_per_hour,cost_per_extra_hour
Junio,3456,864,7601.4,11402.0
Julio,3600,900,7297.3,10946.0
Agosto,3456,864,7601.4,11402.0
Septiembre,3744,936,7016.6,10525.0
